id,japanese,japaneseAllHiragana,english,level
1,私,わたし,我,0
2,わたしたち,わたしたち,我们,3
3,あなた,あなた,你，妳,2
4,あの人,あのひと,他，她，那个人,2
5,皆さん,みなさん,各位，大家,2
6,～さん,～さん,～先生，～小姐，～女士,1
7,～ちゃん,～ちゃん,用于小孩的名字后,1
8,～君,～くん,～君（用于男孩的名字后）,1
9,～じん,～じん,～人（表国籍）,1
10,先生,せんせい,老师，教导者,3
11,教師,きょうし,教师,1
12,学生,がくせい,学生,0
13,会社員,かいしゃいん,公司职员,3
14,社員,しゃいん,～公司的职员（和公司名称一起使用）,1
15,銀行員,ぎんこういん,银行员,3
16,医者,いしゃ,医生,0
17,研究者,けんきゅうしゃ,研究人员,3
18,エンジニア,エンジニア,工程师,3
19,大学,だいがく,大学,0
20,病院,びょういん,医院,0
21,電気,でんき,电，电灯,1
22,だれ（どなた）,だれ（どなた）,谁（哪位）（“どなた”是“だれ”的礼貌形）,1
23,…歳,…さい,…岁,1
24,何歳,なんさい,几岁（おいくつ）（“おいくつ”是“なんさい”的礼貌形）,1
25,はい,はい,是，对,0
26,いいえ,いいえ,不，不是,3
27,失礼ですが,しつれいですが,冒昧请教一下,0
28,お名前は？,おなまえは？,您贵姓？,0
29,初めまして。,はじめまして。,初次见面。（第一次见面时的寒喧）,4
30,どうぞよろしく［お願いします］。,どうぞよろしく［おねがいします］。,请多关照。（第一次见面的问候语）,
31,こちらは～さんです。,ƒ,这位是～先生/小姐。,
32,～から来ました。,～からきました。,我从～來。,
33,これ,これ,这（事物近己方）,0
34,それ,それ,那（事物近对方）,0
35,あれ,あれ,那（事物在远方）,0
36,この～,この～,这（近己方）,0
37,その～,その～,那（近对方）,0
38,あの～,あの～,那（远方）,0
39,本,ほん,书本，书籍,1
40,辞書,じしょ,词典,1
41,雑誌,ざっし,杂志,0
42,新聞,しんぶん,报纸,0
43,ノート,ノート,笔记本,1
44,手帳,てちょう,记事本,0
45,名刺,めいし,名片,0
46,カード,カード,卡片,1
47,鉛筆,えんぴつ,铅笔,0
48,ボールペン,ボールペン,原子笔,0
49,シャープペンシル,シャープペンシル,自动铅笔,4
50,かぎ,かぎ,钥匙,2
51,時計,とけい,钟表,0
52,傘,かさ,伞,1
53,かばん,かばん,书包，手提包，皮包,0
54,テープ,テープ,录音带,5
55,テープレコーダー,テープレコーダー,录音机,5
56,テレビ,テレビ,电视,1
57,ラジオ,ラジオ,收音机,1
58,カメラ,カメラ,照相机,1
59,コンピューター,コンピューター,电脑,3
60,自動車,じどうしゃ,汽车,2
61,机,つくえ,桌子,0
62,いす,いす,椅子,0
63,チョコレート,チョコレート,巧克力,3
64,コーヒー,コーヒー,咖啡,3
65,英語,えいご,英语,0
66,日本語,にほんご,日语,0
67,～語,～ご,～语,
68,何,なん,什么,1
69,そう,そう,是的,0
70,違います。,ちがいます。,不对。/不是。,
71,そうですか。,そうですか。,我了解了/是吗？,
72,あのう,あのう,嗯（用于表示躊躇）,
73,ほんのきもちです。,ほんのきもちです。,小意思。/只是一点心意。ほんの気持ちです。,
74,どうぞ。,どうぞ。,请。/给你,1
75,どうも。,どうも。,谢了。,1
76,［どうも］ありがとう［ございます］。,［どうも］ありがとう［ございます］。,（非常）谢谢你。,
77,ここ,ここ,这里，这个地方,0
78,そこ,そこ,那里，那个地方,0
79,あそこ,あそこ,那里，那个地方,0
80,どこ,どこ,哪里，哪个地方,1
81,こちら,こちら,这边（“ここ”的礼貌形）,0
82,そちら,そちら,那边（“そこ”的礼貌形）,0
83,あちら,あちら,那边（“あちら”的礼貌形）,0
84,どちら,どちら,哪边（“どこ”的礼貌形）,1
85,教室,きょうしつ,教室,0
86,食堂,しょくどう,餐厅，食堂,0
87,事務所,じむしょ,办公室,2
88,会議室,かいぎしつ,会议室,3
89,受付,うけつけ,传达室，接待,0
90,ロビー,ロビー,大厅，休息室,1
91,部屋,へや,房间,2
92,トイレ（お手洗い）,トイレ（おてあらい）,厕所（洗手间）,1
93,階段,かいだん,楼梯,0
94,エレベーター,エレベーター,电梯,3
95,［お］国,［お］くに,贵国,0
96,会社,かいしゃ,公司,0
97,うち,うち,家，房子,0
98,電話,でんわ,电话，电话呼叫,0
99,靴,くつ,鞋子,2
100,ネクタイ,ネクタイ,领带,1
101,ワイン,ワイン,葡萄酒,1
102,たばこ,たばこ,香烟,0
103,売り場,うりば,柜台，卖场,0
104,地下,ちか,地下,1
105,…階,…かい,…楼,1
106,何階,なんがい,几楼,1
107,…円,…えん,?日元,1
108,いくら,いくら,多少钱,1
109,百,ひゃく,百,2
110,千,せん,千,1
111,万,まん,万,1
112,起きます,おきます,起床，起来,
113,寝ます,ねます,睡觉，就寝,
114,働きます,はたらきます,工作,
115,休みます,やすみます,休息,
116,勉強します,べんきょうします,念书，用功,
117,終わります,おわります,结束,
118,デパート,デパート,百货公司,2
119,銀行,ぎんこう,银行,0
120,郵便局,ゆうびんきょく,邮局,3
121,図書館,としょかん,图书馆,2
122,美術館,びじゅつかん,美术馆,3
123,今,いま,现在,1
124,…時,…じ,…点（钟）,1
125,…分,…ふん（…ぷん）,…分（钟）,1
126,半,はん,半,1
127,何時,なんじ,几点,1
128,何分,なんぷん,几分,1
129,午前；早晨,ごぜん,上午,1
130,午後,ごご,下午,1
131,朝,あさ,早上,1
132,昼,ひる,白天，中午,2
133,晩（夜）,ばん（よる）,晚上，夜晚,0
134,おととい,おととい,前天,3
135,きのう,きのう,昨天,2
136,きょう,きょう,今天,1
137,あした,あした,明天,3
138,あさって,あさって,后天,2
139,けさ,けさ,今天早上,1
140,今晩,こんばん,今天晚上,1
141,休み,やすみ,休息，休假,3
142,昼休み,ひるやすみ,午休,3
143,毎朝,まいあさ,每天早上,1
144,毎晩,まいばん,每天晚上,1
145,毎日,まいにち,每天,1
146,月曜日,げつようび,星期一,3
147,火曜日,かようび,星期二,2
148,水曜日,すいようび,星期三,3
149,木曜日,もくようび,星期四,3
150,金曜日,きんようび,星期五,3
151,土曜日,どようび,星期六,2
152,日曜日,にちようび,星期天,3
153,何曜日,なんようび,星期几,3
154,番号,ばんごう,号码,3
155,何番,なんばん,几号,1
156,～から,～から,从～,
157,～まで,～まで,到～,
158,～と～,～と～,和（用于连接名词）,
159,そちら,そちら,那里,0
160,大変ですね。,たいへんですね。,够呛。/（表示同情和慰问对方的心情）,
161,え―と,え―と,嗯，我看看,
162,行きます,いきます,去,
163,来ます,きます,来,
164,帰ります,かえります,回家，回去,
165,学校,がっこう,学校,0
166,スーパー,スーパー,超级市场,1
167,駅,えき,车站;火车站,1
168,飛行機,ひこうき,飞机,2
169,船,ふね,船,1
170,電車,でんしゃ,电车,1
171,地下鉄,ちかてつ,地下铁,1
172,新幹線,しんかんせん,新干线,3
173,バス,バス,公车，巴士,1
174,タクシー,タクシー,计程车,1
175,自転車,じてんしゃ,自行车，脚踏车,2
176,歩いて,あるいて,步行,
177,人,ひと,人,0
178,友達,ともだち,朋友,0
179,彼,かれ,他，男朋友，情人,1
180,彼女,かのじょ,她，女朋友，情人,1
181,家族,かぞく,家人，家属,1
182,一人で,ひとりで,一个人，独自,
183,先週,せんしゅう,上周，上星期,0
184,今週,こんしゅう,本周，这星期,0
185,来週,らいしゅう,下周，下星期,0
186,先月,せんげつ,上个月,1
187,今月,こんげつ,这个月,0
188,来月,らいげつ,下个月,1
189,去年,きょねん,去年,1
190,ことし,ことし,今年,0
191,来年,らいねん,明年,0
192,…月,…がつ,…月,
193,何月,なんがつ,几月,1
194,1日,ついたち,1日，1号,0
195,2日,ふつか,2日，2号,0
196,3日,みっか,3日，3号,0
197,4日,よっか,4日，4号,0
198,5日,いつか,5日，5号,0
199,6日,むいか,6日，6号,0
200,7日,なのか,7日，7号,0
201,8日,ようか,8日，8号,0
202,9日,ここのか,9日，9号,0
203,10日,とおか,10日，10号,0
204,14日,じゅうよっか,14日，14号,
205,20日,はつか,20日，20号,
206,24日,にじゅうよっか,24日，24号,
207,…日,…にち,…日，…号,
208,何日,なんにち,几日，几号,
209,いつ,いつ,什么时候,1
210,誕生日,たんじょうび,生日,3
211,普通,ふつう,普通车,0
212,急行,きゅうこう,快车,0
213,次の,つぎの,下一个，下一次,0
214,食べます,たべます,吃,
215,飲みます,のみます,喝，饮，服用,
216,吸います,すいます,吸（烟）［たばこを～］,
217,見ます,みます,看,
218,聞きます,ききます,听,
219,読みます,よみます,阅读,
220,書きます,かきます,书写,
221,買います,かいます,购买,
222,撮ります,とります,拍（照），（摄影）［しゃしんを～］［写真を～］,
223,します,します,做,
224,会います,あいます,遇见，碰见（朋友）［ともだちに～］［友達に～］,
225,ごはん,ごはん,餐，米饭,1
226,朝ごはん,あさごはん,早餐,3
227,昼ごはん,ひるごはん,中餐,3
228,晩ごはん,ばんごはん,晚餐,3
229,パン,パン,面包,1
230,卵,たまご,鸡蛋,2
231,肉,にく,肉,2
232,魚,さかな,鱼,0
